speech_id,title,date,url,speaker,word_count,sentence_count,char_count,duration_estimate_minutes,avg_sentence_length,std_sentence_length,max_sentence_length,min_sentence_length,type_token_ratio,lexical_diversity,unique_word_count,readability_flesch_reading_ease,readability_flesch_kincaid_grade,readability_gunning_fog,readability_smog_index,readability_coleman_liau_index,readability_automated_readability_index,avg_word_length,anaphora_total,anaphora__we_will,anaphora__i_will,anaphora__they_are,anaphora__we_are,anaphora__this_is,contrast_markers,repetition_density,alliteration_count,keywords_economy,keywords_security,keywords_immigration,keywords_foreign_policy,keywords_total,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,sentiment_mean,sentiment_variance,sentiment_std,sentiment_max,sentiment_min,sentiment_range,emotion_anger,emotion_fear,emotion_joy,emotion_sadness,emotion_surprise,emotion_disgust,emotion_trust,emotion_anticipation,dominant_emotion,dominant_emotion_score,pronoun_first_singular,pronoun_first_plural,pronoun_second_person,pronoun_third_plural,pronoun_third_singular,pronoun_i_we_ratio,pronoun_total,modal_will,modal_would,modal_should,modal_shall,modal_must,modal_can,modal_could,modal_may,modal_might,modal_ought,modal_total,certainty_markers,power_words,affiliation_words,power_affiliation_ratio,ner_person_count,ner_org_count,ner_gpe_count,ner_date_count,ner_money_count,ner_norp_count,ner_fac_count,ner_loc_count,ner_total_entities,top_person_names,top_org_names,top_gpe_names,adj_count,adv_count,adj_adv_ratio,question_count,exclamation_count,all_caps_words,superlative_count,features_extracted_at
_antifa-roundtable,ANTIFA Roundtable,,https://www.rev.com/transcripts/antifa-roundtable,Donald Trump,17612,1485,97282,117.41333333333333,11.861952861952862,10.55869279280004,76,1,0.11997153700189753,0.11997153700189753,2529,70.81752964734311,6.7317047041509745,9.039952520101313,9.93501593503263,7.421212646667826,6.618919474322141,4.330230107149131,17,2,0,2,4,9,141,0.34067681126504656,990,3,26,43,3,75,0.121,0.761,0.118,-0.9997,-0.003404309764309766,0.14927573769186367,0.38636218460385546,0.96,-0.9764,1.9364,0,0,0,0,0,0,0,0,anger,0,541,340,461,396,547,1.5911764705882352,2285,33,52,10,0,0,47,21,4,5,1,173,18,6,17,0.35294117647058826,358,275,161,144,6,54,1,17,1016,"Donald Trump, Trump, Pam, Nick Sortor, Nick","Antifa, ICE, CNN, MSNBC, FBI","Portland, Chicago, Oregon, Seattle, US",1017,1244,0.817524115755627,119,0,134,20,2025-11-23T01:56:57.535547
_trump-and-carney-at-the-white-house,Trump and Carney at the White House,,https://www.rev.com/transcripts/trump-and-carney-at-the-white-house,Donald Trump,6080,558,32756,40.53333333333333,10.89605734767025,8.800860511666754,62,1,0.14138023630504834,0.14138023630504834,1053,75.17625131686867,5.893603329546497,8.262576880901234,9.430133567022068,6.46579881656805,5.515092876997429,4.181380141111685,3,0,1,1,1,0,65,0.3289473684210526,353,19,13,11,12,55,0.07,0.782,0.148,1.0,0.09876702508960573,0.11306867163666963,0.3362568536649768,0.9408,-0.9601,1.9009,0,0,0,0,0,0,0,0,anger,0,169,275,126,114,216,0.6145454545454545,900,11,23,3,0,0,22,16,3,2,0,80,2,10,9,1.1111111111111112,126,9,110,36,9,17,1,13,321,"Trump, Carney, Mark, Schumer, Brian","NATO, the White House's, The National Guard, the Supreme Court, Social Security","Canada, the United States, China, Chicago, US",347,391,0.887468030690537,47,0,20,19,2025-11-23T01:56:57.583961
_trump-executive-order-100625,Trump Executive Order 10/06/25,,https://www.rev.com/transcripts/trump-executive-order-10-06-25,Donald Trump,8844,855,47572,58.96,10.346198830409357,7.323719786831145,40,1,0.13766233766233765,0.13766233766233765,1484,76.62066062735269,5.474755263124077,7.684692829399959,9.046886738149137,6.210006949270326,5.037366545608776,4.166255723846425,8,0,1,0,1,6,69,0.11307100859339665,413,12,10,7,8,37,0.064,0.784,0.152,1.0,0.10588116959064328,0.11378283366880748,0.3373171114378983,0.9231,-0.9186,1.8417,0,0,0,0,0,0,0,0,anger,0,278,245,210,195,374,1.1346938775510205,1302,19,25,7,0,0,31,15,2,0,0,99,3,23,11,2.090909090909091,158,69,103,73,6,39,6,6,460,"Donald Trump, Daniel, Trump, Biden, Doug","Hamas, ICE, DOJ, Army, Marines","Alaska, Chicago, Israel, America, China",486,535,0.908411214953271,68,0,46,15,2025-11-23T01:56:57.667742
_trump-makes-drug-announcement,Trump Makes Drug Announcement,,https://www.rev.com/transcripts/trump-makes-drug-announcement,Donald Trump,10318,736,56709,68.78666666666666,14.023097826086957,12.620969402717966,94,1,0.1451295506723516,0.1451295506723516,1770,69.91007940653681,7.265976928936773,9.36476801973374,10.185962601594124,7.439294809010775,7.310160094189946,4.311436249626754,24,1,0,1,4,18,89,0.1938360147315371,548,20,12,13,0,45,0.058,0.786,0.156,1.0,0.1400350543478261,0.1314891939342362,0.36261438737898444,0.9538,-0.8807,1.8345,0,0,0,0,0,0,0,0,anger,0,179,349,178,147,306,0.5128939828080229,1159,30,25,7,0,0,36,13,1,4,0,116,6,13,21,0.6190476190476191,145,68,69,94,28,64,2,0,470,"Donald Trump, Trump, Albert, Kennedy, Albert Borla","Pfizer, Medicaid, Obamacare, MFN, Medicare","the United States, US, America, the U. S., Germany",686,580,1.1827586206896552,55,0,67,35,2025-11-23T01:56:57.758268
_hegseth-and-trump-address-to-military,Hegseth and Trump Address to Military,,https://www.rev.com/transcripts/hegseth-and-trump-address-to-military,Donald Trump,18868,1546,102952,125.78666666666666,12.205045278137128,8.920665160881686,58,1,0.12398186060846211,0.12398186060846211,2816,75.2829650857842,5.890552431838845,8.030840585388985,9.3871,6.547925289186033,5.86306462322646,4.19084660876978,30,0,3,2,13,12,199,0.47699809200763194,1026,18,80,7,19,124,0.117,0.742,0.141,0.9999,0.036345342820181106,0.17075784615230813,0.41322856405663455,0.9636,-0.9531,1.9167,0,0,0,0,0,0,0,0,anger,0,468,641,395,378,633,0.7301092043681747,2515,55,29,21,0,32,70,20,5,5,0,237,4,67,24,2.7916666666666665,100,124,107,164,14,27,11,25,572,"Trump, Biden, Putin, Pete, Pete Hegseth","Army, Navy, Space Force, NATO, the War Department","America, Russia, the United States, Washington, D. C., China",1376,1093,1.2589204025617566,54,0,97,75,2025-11-23T01:56:57.925195
_trump-and-netanyahu-press-conference,Trump and Netanyahu Press Conference,,https://www.rev.com/transcripts/trump-and-netanyahu-press-conference,Donald Trump,6275,468,34809,41.833333333333336,13.414529914529915,9.067126354836752,54,1,0.1671577819448165,0.1671577819448165,1248,69.49416267276621,6.982444171833688,9.12690216566784,10.237873416939948,7.406535319557907,6.863853449637574,4.314907332796132,5,1,0,0,0,4,70,0.3187250996015936,367,1,15,0,8,24,0.07,0.75,0.18,1.0,0.16798183760683763,0.15078031264021294,0.3883044071861829,0.9501,-0.9107,1.8607999999999998,0,0,0,0,0,0,0,0,anger,0,203,156,83,132,187,1.3012820512820513,761,41,24,3,0,3,21,10,5,1,0,108,3,16,19,0.8421052631578947,65,48,105,62,0,42,4,18,344,"Bibi, Donald Trump, Abraham, Benjamin Netanyahu, Netanyahu","Hamas, the Board of Peace, the United Nations, United Nations Relief and Works Agency, the Palestinian Authority","Israel, Gaza, Iran, Qatar, the United States",441,384,1.1484375,18,0,15,9,2025-11-23T01:56:57.981402
_tiktok-executive-order,TikTok Executive Order,,https://www.rev.com/transcripts/tiktok-executive-order,Donald Trump,10618,973,57573,70.78666666666666,10.915724563206577,9.71342135308207,81,1,0.13121709750923233,0.13121709750923233,1670,73.46359496505582,6.217535754394458,8.287822290696292,9.431586420012476,6.787882285054817,5.849413459143072,4.228713063763608,11,0,1,0,0,10,107,0.09417969485778867,596,25,32,14,19,90,0.083,0.765,0.152,1.0,0.09134984583761563,0.1356914873098426,0.36836325455973834,0.9586,-0.9729,1.9315,0,0,0,0,0,0,0,0,anger,0,260,306,182,275,399,0.8496732026143791,1422,48,14,8,0,1,41,25,6,1,0,144,3,14,16,0.875,230,97,119,73,9,35,3,4,570,"Donald Trump, Will, Scott, Trump, Pam Bondi","TikTok, Antifa, Oracle, Treasury, ICE","China, Chicago, Washington DC, US, Russia",612,660,0.9272727272727272,106,0,47,18,2025-11-23T01:56:58.076480
_trump-speaks-at-un,Trump Speaks at U.N.,,https://www.rev.com/transcripts/trump-speaks-at-un,Donald Trump,8269,571,46625,55.126666666666665,14.486865148861646,11.052703823111784,74,1,0.18709743380022492,0.18709743380022492,1830,67.47656774359731,7.55659916137488,9.41171271570153,10.445307489219838,8.086216085271321,7.882781088083188,4.413093929400269,6,2,0,0,1,3,65,0.24186721489902044,453,16,16,20,27,79,0.129,0.72,0.151,0.9995,0.015065499124343266,0.2014271490198472,0.44880636027116105,0.9727,-0.9468,1.9195,0,0,0,0,0,0,0,0,anger,0,176,192,109,180,208,0.9166666666666666,865,25,21,8,0,9,34,6,1,1,0,105,2,12,15,0.8,20,45,133,88,11,21,1,20,339,"Donald Trump, Biden, Trump, Donald J. Trump, Steve Witkoff","the United Nations, UN, Hamas, Assembly, NATO","the United States, America, China, Iran, Russia",608,611,0.9950900163666121,15,0,36,28,2025-11-23T01:56:58.150471
_h-1b-executive-order,H-1B Executive Order,,https://www.rev.com/transcripts/h-1b-executive-order,Donald Trump,11332,1097,60468,75.54666666666667,10.331814038286236,8.385385759711045,59,1,0.11981936047782067,0.11981936047782067,1645,77.02801360230772,5.393002331747972,7.118003289100169,8.621571317764944,6.011680420785346,4.78465343920837,4.1563402590142555,3,0,0,0,0,3,93,0.6177197317331451,578,15,18,17,16,66,0.096,0.764,0.14,1.0,0.056448313582497724,0.13628232260654521,0.3691643571724459,0.9765,-0.9382,1.9147,0,0,0,0,0,0,0,0,anger,0,299,406,227,285,473,0.7364532019704434,1690,24,26,13,0,0,39,15,5,4,0,126,4,14,7,2.0,203,76,105,60,36,49,6,3,538,"Donald Trump, John, Xi, Biden, Brendan Carr","TikTok, NATO, UN, Treasury, Senate","Chicago, America, Memphis, US, Gaza",647,669,0.9671150971599403,90,0,58,29,2025-11-23T01:56:58.250434
_polish-president-visits-the-white-house,Polish President Visits the White House,,https://www.rev.com/transcripts/polish-president-visits-the-white-house,Donald Trump,5654,501,30698,37.693333333333335,11.285429141716566,8.065622031063265,50,1,0.1611661980168714,0.1611661980168714,1089,74.60942002881848,5.931542815973653,7.896624125154384,9.13403800706968,6.690309798270892,5.629879225832532,4.246427262733602,7,0,0,2,1,4,52,0.0,289,11,9,0,17,37,0.104,0.75,0.147,0.9998,0.053818962075848326,0.16741501047876303,0.40916379419342935,0.9497,-0.9577,1.9074,0,0,0,0,0,0,0,0,anger,0,159,204,112,157,165,0.7794117647058824,797,12,21,6,0,0,8,13,1,2,1,64,2,8,14,0.5714285714285714,95,17,106,45,5,28,0,4,300,"Donald Trump, Karol Nawrocki, Nawrocki, Putin, Epstein","NATO, the Justice Department, the Air Force Academy, Polish Radio, Hill","Poland, Chicago, China, Venezuela, Russia",321,359,0.8941504178272981,39,0,27,17,2025-11-23T01:56:58.301420
_trump-cabinet-meeting-82625,Trump Cabinet Meeting 8/26/25,,https://www.rev.com/transcripts/trump-cabinet-meeting-8-26-25,Donald Trump,35082,2969,192099,233.88,11.817110138093634,9.9496829551352,83,1,0.08810374612490238,0.08810374612490238,3723,73.76714099971562,6.136106469843146,8.126769440183578,9.444462467405465,6.831613516549993,6.022443427067156,4.24370188943317,36,4,3,4,10,15,304,0.2565418163160595,2046,109,71,22,41,243,0.075,0.773,0.152,1.0,0.09892020882452003,0.13818173334034037,0.3717280367961776,0.988,-0.9737,1.9617,0,0,0,0,0,0,0,0,anger,0,928,1116,900,712,1229,0.8315412186379928,4885,63,87,29,0,3,119,57,6,7,0,371,9,36,94,0.3829787234042553,533,211,333,287,68,137,12,28,1609,"Donald Trump, Bobby, Trump, Biden, Scott","Congress, the Department of Labor, CIA, Social Security, Intel","America, China, Chicago, the United States, Ukraine",2193,2108,1.0403225806451613,149,0,161,103,2025-11-23T01:56:58.614685
_executive-orders-on-82525,Executive Orders on 8/25/25,,https://www.rev.com/transcripts/executive-orders-on-8-25-25,Donald Trump,14618,1295,78307,97.45333333333333,11.288803088803089,9.494074056839203,81,1,0.11120471777590564,0.11120471777590564,1980,78.38556936751472,5.394230775998732,7.6367736832862505,8.976849622999243,5.981828239524269,5.266332347179333,4.106043648573028,7,0,2,2,1,2,154,0.13681762210972773,748,20,46,18,27,111,0.113,0.749,0.137,0.9999,0.03346254826254826,0.153211417230572,0.39142230037463627,0.9491,-0.9618,1.9109,0,0,0,0,0,0,0,0,anger,0,456,461,330,342,565,0.9891540130151844,2154,20,39,23,0,0,44,18,4,4,1,153,2,28,22,1.2727272727272727,188,96,156,98,22,44,5,9,618,"Donald Trump, Trump, Pritzker, Biden, Pam","NATO, Intel, ICE, Congress, Social Security","Chicago, Ukraine, Illinois, China, Los Angeles",842,892,0.9439461883408071,92,0,96,34,2025-11-23T01:56:58.770171
_european-leaders-meet-at-white-house,European Leaders Meet at White House,,https://www.rev.com/transcripts/european-leaders-meet-at-white-house,Donald Trump,4483,352,23926,29.886666666666667,12.735795454545455,10.664888890610639,90,1,0.1588179218303146,0.1588179218303146,833,72.96036276059309,6.643621585007903,9.093008203507187,10.061304954700963,6.5069315872657505,6.165227897984984,4.15139804501023,7,1,1,0,1,4,33,0.4461298237787196,291,2,29,1,14,46,0.049,0.738,0.213,1.0,0.24700170454545456,0.14993231408800362,0.38721094262430605,0.9716,-0.9587,1.9303,0,0,0,0,0,0,0,0,anger,0,140,205,122,15,113,0.6829268292682927,595,21,13,3,0,0,25,11,2,4,0,79,6,3,19,0.15789473684210525,88,11,46,47,0,12,1,8,213,"Donald Trump, Putin, Zelenskyy, Mark Rutte, Meloni","NATO, White House, the European Commission, the coalition of the willings, the coalition of the willing","Ukraine, Russia, the United Kingdom, Germany, Italy",296,360,0.8222222222222222,7,0,8,11,2025-11-23T01:56:58.810855
_trump-meets-with-zelenskyy,Trump Meets with Zelenskyy,,https://www.rev.com/transcripts/trump-meets-with-zelenskyy,Donald Trump,4920,504,26616,32.8,9.761904761904763,7.5218502572516694,44,1,0.15060540719854038,0.15060540719854038,908,76.65637465051259,5.488008698353529,7.87929622412381,9.122685957420869,6.425329153605016,5.219286914963746,4.20004233700254,5,0,0,1,0,4,47,1.016260162601626,225,0,14,0,19,33,0.102,0.735,0.163,0.9999,0.07766329365079366,0.1492425582756598,0.38631924398825873,0.9612,-0.943,1.9042,0,0,0,0,0,0,0,0,anger,0,143,161,129,79,189,0.8881987577639752,701,11,18,2,0,1,20,5,3,1,0,61,1,5,10,0.5,112,11,54,48,4,27,0,7,263,"Donald Trump, Volodymyr Zelenskyy, Trump, Zelenskyy, Putin","NATO, MTG, EU, X, Patriots","Ukraine, Russia, the United States, Washington, D. C., D. C.",286,272,1.0514705882352942,59,8,25,9,2025-11-23T01:56:58.855787
_trump-hosts-world-leaders-at-the-white-house,Trump Hosts World Leaders At The White House,,https://www.rev.com/transcripts/trump-hosts-world-leaders-at-the-white-house,Donald Trump,6900,600,38659,46.0,11.501666666666667,9.583318695640996,60,1,0.15100711615004223,0.15100711615004223,1252,69.53588251097605,6.749173810034218,9.140106517145474,10.07931086160657,7.724830633284242,6.66742155009452,4.401727218582489,12,1,0,0,3,8,77,0.14492753623188406,392,18,11,1,16,46,0.058,0.726,0.215,1.0,0.1944491666666667,0.14702766836597222,0.3834418709087105,0.9793,-0.8826,1.8618999999999999,0,0,0,0,0,0,0,0,anger,0,198,209,131,133,221,0.9473684210526315,892,39,27,6,0,0,8,14,3,3,0,100,4,1,15,0.06666666666666667,138,15,107,73,7,17,3,15,375,"Donald Trump, Aliyev, Trump, Putin, Nikol Pashinyan","NATO, State, the European Union, the State Department, the Atomic Energy Commission","Azerbaijan, Armenia, Russia, Ukraine, the United States",418,490,0.8530612244897959,53,0,14,13,2025-11-23T01:56:58.919579
